00:02:22:000:0 out_port [4, 0.846564]
00:02:23:000:0 out_port [4, 0.960366]
00:02:24:000:0 out_port [4, 0.806967]
00:02:25:000:0 out_port [4, 0.932664]
00:02:26:000:0 out_port [4, 1]
00:02:27:000:0 out_port [4, 1]
00:02:28:000:0 out_port [4, 0.86281]
00:02:29:000:0 out_port [4, 0.727334]
00:02:30:000:0 out_port [4, 0.861438]
00:02:31:000:0 out_port [4, 0.98124]
00:02:32:000:0 out_port [4, 1]
00:02:33:000:0 out_port [4, 0.853456]
00:02:34:000:0 out_port [4, 0.981719]
00:02:35:000:0 out_port [4, 0.831414]
00:02:36:000:0 out_port [4, 0.682482]
00:02:37:000:0 out_port [4, 0.816713]
00:02:38:000:0 out_port [4, 0.665703]
00:02:39:000:0 out_port [4, 0.79704]
00:02:40:000:0 out_port [4, 0.642482]
00:02:41:000:0 out_port [4, 0.498979]
00:02:42:000:0 out_port [4, 0.370872]
00:02:43:000:0 out_port [4, 0.235382]
00:02:44:000:0 out_port [4, 0.116856]
00:02:45:000:0 out_port [4, 0.260373]
00:02:46:000:0 out_port [4, 0.404358]
00:02:47:000:0 out_port [4, 0.553292]
00:02:48:000:0 out_port [4, 0.677536]
00:02:49:000:0 out_port [4, 0.548152]
00:02:50:000:0 out_port [4, 0.667061]
00:02:51:000:0 out_port [4, 0.800427]
00:02:52:000:0 out_port [4, 0.91409]
00:02:53:000:0 out_port [4, 1]
00:02:54:000:0 out_port [4, 1]
00:02:55:000:0 out_port [4, 0.858271]
00:02:56:000:0 out_port [4, 0.979023]
00:02:57:000:0 out_port [4, 0.826908]
00:02:58:000:0 out_port [4, 0.681145]
00:02:59:000:0 out_port [4, 0.800848]
00:03:00:000:0 out_port [4, 0.918856]
00:03:01:000:0 out_port [4, 0.787784]
00:03:02:000:0 out_port [4, 0.9031]
00:03:03:000:0 out_port [4, 0.770246]
00:03:04:000:0 out_port [4, 0.904772]
00:03:05:000:0 out_port [4, 0.755102]
00:03:06:000:0 out_port [4, 0.869449]
00:03:07:000:0 out_port [4, 0.993411]
00:03:08:000:0 out_port [4, 0.850087]
00:03:09:000:0 out_port [4, 0.698327]
00:03:10:000:0 out_port [4, 0.828817]
00:03:11:000:0 out_port [4, 0.945403]
00:03:12:000:0 out_port [4, 0.813239]
00:03:13:000:0 out_port [4, 0.660097]
00:03:14:000:0 out_port [4, 0.512615]
00:03:15:000:0 out_port [4, 0.379425]
00:03:16:000:0 out_port [4, 0.240047]
00:03:17:000:0 out_port [4, 0.385331]
00:03:18:000:0 out_port [4, 0.513467]
00:03:19:000:0 out_port [4, 0.651054]
00:03:20:000:0 out_port [4, 0.526853]
00:03:21:000:0 out_port [4, 0.388274]
00:03:22:000:0 out_port [4, 0.267047]
00:03:23:000:0 out_port [4, 0.126553]
00:03:24:000:0 out_port [4, 0]
00:03:25:000:0 out_port [4, 0.156299]
00:03:26:000:0 out_port [4, 0.301027]
00:03:27:000:0 out_port [4, 0.425565]
00:03:28:000:0 out_port [4, 0.545521]
00:03:29:000:0 out_port [4, 0.680924]
00:03:30:000:0 out_port [4, 0.551803]
00:03:31:000:0 out_port [4, 0.672644]
00:03:32:000:0 out_port [4, 0.798644]
00:03:33:000:0 out_port [4, 0.668711]
00:03:34:000:0 out_port [4, 0.785026]
00:03:35:000:0 out_port [4, 0.896714]
00:03:36:000:0 out_port [4, 1]
00:03:37:000:0 out_port [4, 1]
00:03:38:000:0 out_port [4, 1]
00:03:39:000:0 out_port [4, 0.86475]
00:03:40:000:0 out_port [4, 0.982907]
00:03:41:000:0 out_port [4, 1]
00:03:42:000:0 out_port [4, 1]
00:03:43:000:0 out_port [4, 1]
00:03:44:000:0 out_port [4, 1]
00:03:45:000:0 out_port [4, 0.846833]
00:03:46:000:0 out_port [4, 0.976089]
00:03:47:000:0 out_port [4, 0.837538]
00:03:48:000:0 out_port [4, 0.68665]
00:03:49:000:0 out_port [4, 0.560464]
00:03:50:000:0 out_port [4, 0.687936]
00:03:51:000:0 out_port [4, 0.809947]
